year,Features,Score
1960,danceability,0.5164229647412661
1960,energy,0.37078826492885103
1960,speechiness,0.05949772539661295
1960,acousticness,0.6419987869267894
1960,instrumentalness,0.25201805883753925
1960,liveness,0.15709916106886201
1960,valence,0.47927381125121554
1961,danceability,0.5097878130918855
1961,energy,0.4135275515773819
1961,speechiness,0.07356116353857305
1961,acousticness,0.5849390197475225
1961,instrumentalness,0.2657949799927064
1961,liveness,0.1543739683732557
1961,valence,0.45171666760087575
1962,danceability,0.4995609977582511
1962,energy,0.3685898307742113
1962,speechiness,0.07356472879651708
1962,acousticness,0.6279853534350928
1962,instrumentalness,0.265740689400641
1962,liveness,0.16732813439335842
1962,valence,0.4439382439622548
1963,danceability,0.5169598395258311
1963,energy,0.39788745520117424
1963,speechiness,0.04747092264844114
1963,acousticness,0.6318048069037181
1963,instrumentalness,0.1887620865293345
1963,liveness,0.19370768534923205
1963,valence,0.5183156259935646
1964,danceability,0.5424281279780755
1964,energy,0.4610184206955898
1964,speechiness,0.0834251325821704
1964,acousticness,0.586853818846614
1964,instrumentalness,0.20393421407202944
1964,liveness,0.18825592624889895
1964,valence,0.5205852494678913
1965,danceability,0.4942558400564082
1965,energy,0.41132544108635916
1965,speechiness,0.0601661839257234
1965,acousticness,0.6048123998732196
1965,instrumentalness,0.15537663390430104
1965,liveness,0.17799032579296037
1965,valence,0.47223448562004183
1966,danceability,0.5172890407111895
1966,energy,0.4944133279612211
1966,speechiness,0.0690074622316459
1966,acousticness,0.4898514025432897
1966,instrumentalness,0.19988005155219724
1966,liveness,0.16992509779869325
1966,valence,0.5096958197862339
1967,danceability,0.4945767855824217
1967,energy,0.4841926414282937
1967,speechiness,0.082746835422741985
1967,acousticness,0.46551189335127974
1967,instrumentalness,0.18755301442566974
1967,liveness,0.1987707557630109
1967,valence,0.49410959105201435
1968,danceability,0.4906401582575854
1968,energy,0.4956968463819285
1968,speechiness,0.06008987544384853
1968,acousticness,0.4291308405903805
1968,instrumentalness,0.1657078907846787
1968,liveness,0.20328136583869855
1968,valence,0.48426328343277225
1969,danceability,0.48137097669121176
1969,energy,0.532682247287209
1969,speechiness,0.07054489784585286
1969,acousticness,0.41649205308200865
1969,instrumentalness,0.2067393039923572
1969,liveness,0.20213887420851756
1969,valence,0.4930560970707706
1970,danceability,0.4874891793616622
1970,energy,0.5258524524720933
1970,speechiness,0.06902426196444791
1970,acousticness,0.4142404535739657
1970,instrumentalness,0.1792607078597004
1970,liveness,0.19896773063664638
1970,valence,0.4914258673689467
1971,danceability,0.49801614080378337
1971,energy,0.537710693272661
1971,speechiness,0.06753870623558735
1971,acousticness,0.38066535057124024
1971,instrumentalness,0.1811586359263008
1971,liveness,0.18843274990662492
1971,valence,0.4994738933281938
1972,danceability,0.497418987967209
1972,energy,0.5268694184005993
1972,speechiness,0.06384863207206973
1972,acousticness,0.37795958524895196
1972,instrumentalness,0.2016653409038681
1972,liveness,0.193338809136335
1972,valence,0.5076563469560172
1973,danceability,0.4885094147904125
1973,energy,0.5299778659929312
1973,speechiness,0.07687575585244363
1973,acousticness,0.4089903651102676
1973,instrumentalness,0.1930185292239396
1973,liveness,0.20432146785395217
1973,valence,0.49026517674108183
1974,danceability,0.51252338292603
1974,energy,0.5148892340152443
1974,speechiness,0.07159326227294356
1974,acousticness,0.4023370801622279
1974,instrumentalness,0.18819237573304617
1974,liveness,0.18404739559653774
1974,valence,0.4466565489709086
1975,danceability,0.4913949308855746
1975,energy,0.5261777751908326
1975,speechiness,0.08686010984629945
1975,acousticness,0.4214564479779606
1975,instrumentalness,0.2217539134454624
1975,liveness,0.20572545440932122
1975,valence,0.4609650334534414
1976,danceability,0.5018181689774747
1976,energy,0.5530771287232251
1976,speechiness,0.07026987299962523
1976,acousticness,0.33158159955042055
1976,instrumentalness,0.18466324208561552
1976,liveness,0.2096344368549944
1976,valence,0.48091373682300026
1977,danceability,0.519675185018188
1977,energy,0.5619348072035795
1977,speechiness,0.09068963732367226
1977,acousticness,0.3323413706367823
1977,instrumentalness,0.21186041962734867
1977,liveness,0.19462821679481238
1977,valence,0.5223204110314073
1978,danceability,0.4997786331060881
1978,energy,0.5688782233954902
1978,speechiness,0.06988275926658119
1978,acousticness,0.33654859594358216
1978,instrumentalness,0.19539967009593898
1978,liveness,0.19304951984566102
1978,valence,0.4783935586097201
1979,danceability,0.5025199557378114
1979,energy,0.6100955445654899
1979,speechiness,0.06997608406770923
1979,acousticness,0.3069798730831299
1979,instrumentalness,0.21035012513739512
1979,liveness,0.19978453796707715
1979,valence,0.4975054748012006
1980,danceability,0.5138613332629404
1980,energy,0.6442173480134384
1980,speechiness,0.08943947341723199
1980,acousticness,0.25484666169464426
1980,instrumentalness,0.2059734432166801
1980,liveness,0.20558730819714063
1980,valence,0.523001418735165
1981,danceability,0.5132904902715748
1981,energy,0.6149289499382697
1981,speechiness,0.0715736442808111
1981,acousticness,0.28487268994425374
1981,instrumentalness,0.20636670468030083
1981,liveness,0.18476317918235427
1981,valence,0.485004313190554
1982,danceability,0.49651634456871446
1982,energy,0.6112147081574426
1982,speechiness,0.1103234098855751
1982,acousticness,0.2727570930737597
1982,instrumentalness,0.2042438437762987
1982,liveness,0.21696268993789686
1982,valence,0.46556552251321887
1983,danceability,0.4547159731979844
1983,energy,0.6281075421173347
1983,speechiness,0.07229445344298606
1983,acousticness,0.28370145113436607
1983,instrumentalness,0.28829089903958954
1983,liveness,0.1970987977681169
1983,valence,0.47001707706970175
1984,danceability,0.4782793578868837
1984,energy,0.6452301640874498
1984,speechiness,0.059477729932224596
1984,acousticness,0.24782182962454757
1984,instrumentalness,0.21942067340357677
1984,liveness,0.1970565007848235
1984,valence,0.45341564932918005
1985,danceability,0.4406250950931478
1985,energy,0.6552427955643206
1985,speechiness,0.07642955143603747
1985,acousticness,0.25679835324227873
1985,instrumentalness,0.22511455535178548
1985,liveness,0.21070186133617982
1985,valence,0.4246590918706461
1986,danceability,0.48295371497006195
1986,energy,0.6341852699981475
1986,speechiness,0.08880540758492286
1986,acousticness,0.288809138901294
1986,instrumentalness,0.24095515208579807
1986,liveness,0.21473302084943408
1986,valence,0.4325530362972799
1987,danceability,0.43611190787192655
1987,energy,0.6438831746402325
1987,speechiness,0.07838686377507881
1987,acousticness,0.2511306815137943
1987,instrumentalness,0.24496133000898146
1987,liveness,0.1971602094611129
1987,valence,0.3592968248004933
1988,danceability,0.4471022125189992
1988,energy,0.6441239685555283
1988,speechiness,0.09038360325424094
1988,acousticness,0.276384901471077
1988,instrumentalness,0.2750248841796954
1988,liveness,0.2253174771209997
1988,valence,0.3677734671317607
1989,danceability,0.4246287805267462
1989,energy,0.6498303277725868
1989,speechiness,0.08776534178043201
1989,acousticness,0.2569734478720643
1989,instrumentalness,0.29709900786938626
1989,liveness,0.2019992180133491
1989,valence,0.3716541429669357
1990,danceability,0.4760278675479566
1990,energy,0.6885251410762488
1990,speechiness,0.09220337772559176
1990,acousticness,0.15958260403827793
1990,instrumentalness,0.1818372725356521
1990,liveness,0.21295992269845598
1990,valence,0.4507835156069723
1991,danceability,0.4865243084131846
1991,energy,0.6309106660070851
1991,speechiness,0.10451164612611859
1991,acousticness,0.2246770657278106
1991,instrumentalness,0.270648916097269
1991,liveness,0.206321897762935
1991,valence,0.4441299605065789
1992,danceability,0.4642883079948456
1992,energy,0.6078265098140367
1992,speechiness,0.09888122303222005
1992,acousticness,0.26959197301116905
1992,instrumentalness,0.24051807905786282
1992,liveness,0.21626720955298573
1992,valence,0.3955196155528819
1993,danceability,0.460342697972424
1993,energy,0.6242679296446504
1993,speechiness,0.11579181253398335
1993,acousticness,0.21720109424807177
1993,instrumentalness,0.3102030052845096
1993,liveness,0.2090516925216488
1993,valence,0.3787191591402199
1994,danceability,0.48121781090226134
1994,energy,0.5653902288632466
1994,speechiness,0.10544481075589765
1994,acousticness,0.3102649632637
1994,instrumentalness,0.25715742945374553
1994,liveness,0.20143747930792164
1994,valence,0.38383758141506563
1995,danceability,0.48293770122042223
1995,energy,0.621604739223132
1995,speechiness,0.11721154154875371
1995,acousticness,0.24048352372167361
1995,instrumentalness,0.2727640174361512
1995,liveness,0.22179420704047803
1995,valence,0.4136847217490938
1996,danceability,0.4665153346748613
1996,energy,0.6253628509372526
1996,speechiness,0.1157317031896249
1996,acousticness,0.25356336321041967
1996,instrumentalness,0.313265267674501
1996,liveness,0.2208712412917097
1996,valence,0.394217720084626
1997,danceability,0.46821939866094014
1997,energy,0.5828968359132334
1997,speechiness,0.07477402468737593
1997,acousticness,0.30019934012084004
1997,instrumentalness,0.27852117547522426
1997,liveness,0.1873432198647046
1997,valence,0.3807680512122313
1998,danceability,0.45426837305669865
1998,energy,0.5990875006151618
1998,speechiness,0.08125400782933945
1998,acousticness,0.26721703033125155
1998,instrumentalness,0.36842474623767724
1998,liveness,0.19862050338564358
1998,valence,0.364767847083579
1999,danceability,0.47943970182822604
1999,energy,0.63980242800976594
1999,speechiness,0.0928964827292161
1999,acousticness,0.2618322145064411
1999,instrumentalness,0.3153553264378768
1999,liveness,0.19203193849284186
1999,valence,0.3725646784018531
2000,danceability,0.47269417291649873
2000,energy,0.6093271821056031
2000,speechiness,0.11255164799421474
2000,acousticness,0.260617583165929
2000,instrumentalness,0.27182444299744624
2000,liveness,0.20982819885214607
2000,valence,0.38097391742378917
2001,danceability,0.46771421532407426
2001,energy,0.6117416811381402
2001,speechiness,0.09278042642384272
2001,acousticness,0.28120249400234276
2001,instrumentalness,0.29334479777856953
2001,liveness,0.19217037923931982
2001,valence,0.3454469790184035
2002,danceability,0.452553232276478
2002,energy,0.6159049064751784
2002,speechiness,0.09552535847523251
2002,acousticness,0.3024457151869703
2002,instrumentalness,0.3078192936244364
2002,liveness,0.20536733933405776
2002,valence,0.34464579797340406
2003,danceability,0.4381680960914025
2003,energy,0.5910305930989097
2003,speechiness,0.08792155987036107
2003,acousticness,0.33262814578658306
2003,instrumentalness,0.32649903627487437
2003,liveness,0.2148573052939789
2003,valence,0.34373142539437657
2004,danceability,0.455072249931719
2004,energy,0.6216736664570707
2004,speechiness,0.09445174777410625
2004,acousticness,0.3084180273785507
2004,instrumentalness,0.28914056726568843
2004,liveness,0.19722208963926272
2004,valence,0.36268220344164853
2005,danceability,0.42800915161826497
2005,energy,0.6357325408511173
2005,speechiness,0.08454405569864278
2005,acousticness,0.2897601795122258
2005,instrumentalness,0.32290663673244424
2005,liveness,0.2122792886535866
2005,valence,0.3516153727486683
2006,danceability,0.39933436465724315
2006,energy,0.6681638088599211
2006,speechiness,0.07931207813073764
2006,acousticness,0.26387036138371306
2006,instrumentalness,0.33836233922993414
2006,liveness,0.20934100647005058
2006,valence,0.34314274087855445
2007,danceability,0.4214165290052888
2007,energy,0.614216464229383
2007,speechiness,0.1057608945621371
2007,acousticness,0.2836958511970937
2007,instrumentalness,0.4161392402279977
2007,liveness,0.1936709183897305
2007,valence,0.31219713384443276
2008,danceability,0.43671917988674913
2008,energy,0.5841275904841158
2008,speechiness,0.11883761196098454
2008,acousticness,0.2975349436939712
2008,instrumentalness,0.3668668908235095
2008,liveness,0.22713452561550485
2008,valence,0.3126680828009325
2009,danceability,0.40142513526211443
2009,energy,0.6414868415668845
2009,speechiness,0.08257654801194629
2009,acousticness,0.24941977220261852
2009,instrumentalness,0.4498542129839342
2009,liveness,0.20364151805291206
2009,valence,0.28788706962393545
2010,danceability,0.4539911510463012
2010,energy,0.5776379031547608
2010,speechiness,0.08958294653042892
2010,acousticness,0.330058043168709
2010,instrumentalness,0.351415004525116
2010,liveness,0.21561180680186476
2010,valence,0.33090232215845056
2011,danceability,0.4116993775637245
2011,energy,0.5653942870718094
2011,speechiness,0.11098412986382981
2011,acousticness,0.3797146252859372
2011,instrumentalness,0.40016249741902504
2011,liveness,0.17439133783248106
2011,valence,0.28326466487758956
2012,danceability,0.4627857347370011
2012,energy,0.6961723711092829
2012,speechiness,0.15293432399164017
2012,acousticness,0.1893982897682777
2012,instrumentalness,0.2197103584620277
2012,liveness,0.23564474132681648
2012,valence,0.365987308469641
2013,danceability,0.4531363206710956
2013,energy,0.5885156343053838
2013,speechiness,0.0941762344665184
2013,acousticness,0.3029952892599824
2013,instrumentalness,0.3161535062110279
2013,liveness,0.1867871787904501
2013,valence,0.33996350322163604
2014,danceability,0.494218539067142
2014,energy,0.604273384506833
2014,speechiness,0.09237503491762866
2014,acousticness,0.2875183326961032
2014,instrumentalness,0.23765560111352743
2014,liveness,0.19657705622665733
2014,valence,0.38081392508594347
2015,danceability,0.4705861265886308
2015,energy,0.6060841473614155
2015,speechiness,0.10476170886105025
2015,acousticness,0.3023783473892254
2015,instrumentalness,0.267037529183128
2015,liveness,0.21070799611697827
2015,valence,0.34152972770104545
2016,danceability,0.5114026449474172
2016,energy,0.5991083252379491
2016,speechiness,0.14550126124322288
2016,acousticness,0.3162489992846451
2016,instrumentalness,0.25745442811334857
2016,liveness,0.2140625946539082
2016,valence,0.3848667892769061
2017,danceability,0.4990277291520339
2017,energy,0.5899570763260247
2017,speechiness,0.12918718162191584
2017,acousticness,0.35513132425719224
2017,instrumentalness,0.2814657798562814
2017,liveness,0.21446041316929507
