year,n
1960,22
1961,26
1962,31
1963,27
1964,42
1965,44
1966,49
1967,66
1968,77
1969,119
1970,124
1971,143
1972,132
1973,141
1974,120
1975,104
1976,79
1977,92
1978,78
1979,84
1980,64
1981,48
1982,57
1983,51
1984,61
1985,57
1986,67
1987,58
1988,70
1989,75
1990,66
1991,80
1992,91
1993,88
1994,116
1995,106
1996,105
1997,102
1998,101
1999,92
2000,89
2001,97
2002,95
2003,95
2004,83
2005,91
2006,73
2007,58
2008,38
2009,48
2010,37
2011,32
2012,27
2013,38
2014,24
2015,28
2016,44
2017,41
2018,32
2019,22
2020,28
2021,19
