#,Artist,Lead Streams,Feats,Tracks,1b,100m,10m,1m,Update
1,Drake,"48,400,978,701","18,823,776,705",261,6,123,255,258,15.07.22
2,Bad Bunny,"40,337,718,827","4,793,180,521",164,5,112,158,163,15.07.22
3,Ed Sheeran,"36,848,654,655","2,647,896,976",226,10,62,169,203,15.07.22
4,The Weeknd,"32,969,833,381","4,111,839,693",183,7,72,144,163,15.07.22
5,Ariana Grande,"31,450,464,315","2,008,651,671",181,7,71,126,175,15.07.22
6,Justin Bieber,"31,340,506,125","9,493,143,538",224,6,55,173,196,15.07.22
7,Taylor Swift,"30,528,971,243","408,966,050",323,1,86,249,313,15.07.22
8,Eminem,"29,507,282,669","5,765,371,409",297,5,65,226,266,14.07.22
9,Post Malone,"28,904,878,051","2,650,630,245",98,8,57,77,82,15.07.22
10,BTS,"27,087,800,262","302,296,278",259,1,95,210,258,15.07.22
11,J Balvin,"25,100,292,535","9,190,957,970",240,3,64,143,220,30.06.22
12,Kanye West,"24,422,497,124","5,582,915,006",238,1,61,196,221,15.07.22
13,Billie Eilish,"22,687,758,338",0,62,4,44,57,61,14.07.22
14,Juice WRLD,"22,263,212,701","3,600,027,174",116,3,58,113,115,14.07.22
15,Coldplay,"21,321,940,159",0,303,5,34,170,279,15.07.22
16,Dua Lipa,"21,194,342,776","337,208,169",198,7,35,83,165,15.07.22
17,XXXTENTACION,"21,055,365,760","2,598,505,289",143,7,43,107,135,15.07.22
18,Imagine Dragons,"20,859,501,787","62,997,363",163,4,40,110,144,14.07.22
19,Ozuna,"20,579,281,224","7,258,356,086",213,1,51,154,196,09.07.22
20,Khalid,"20,356,364,411","2,851,747,744",113,7,39,89,107,02.07.22
21,Rihanna,"20,075,221,452","8,008,855,023",273,2,45,110,199,15.07.22
22,Travis Scott,"20,021,950,931","9,304,087,367",113,4,47,91,108,14.07.22
23,Maroon 5,"19,351,656,790","17,806",242,7,31,110,198,13.07.22
24,Shawn Mendes,"18,451,989,378","45,296,350",126,5,34,94,124,15.07.22
25,David Guetta,"18,248,852,451","1,163,904,858",692,1,45,145,383,08.07.22
26,Bruno Mars,"17,535,845,715","3,775,145,444",80,5,31,61,75,15.07.22
27,Daddy Yankee,"17,389,801,257","5,451,892,552",359,3,41,100,235,11.07.22
28,Calvin Harris,"17,287,028,051","408,776,879",220,3,28,83,176,13.07.22
29,Kendrick Lamar,"16,860,558,942","8,337,538,520",122,2,38,111,117,14.07.22
30,Sam Smith,"16,483,962,970","273,956,619",144,4,30,82,137,15.07.22
31,Queen,"16,027,255,589","33,681,916",552,4,24,95,404,15.07.22
32,The Chainsmokers,"15,140,519,001","395,065,774",196,3,27,78,165,30.06.22
33,Future,"15,026,628,909","8,906,965,245",502,1,27,230,365,15.07.22
34,Chris Brown,"14,990,735,251","8,234,551,462",428,0,37,196,352,13.07.22
35,One Direction,"14,963,571,590",0,124,0,43,100,118,14.07.22
36,Beyoncé,"14,633,808,880","2,015,849,045",344,1,34,155,249,15.07.22
37,J. Cole,"14,332,972,543","3,816,903,915",138,1,40,112,137,02.07.22
38,Lady Gaga,"14,317,645,859","91,967,613",314,1,26,106,204,15.07.22
39,Nicki Minaj,"14,212,114,761","10,384,087,001",165,2,33,116,155,14.07.22
40,Adele,"13,837,647,425","35,909,732",70,3,26,59,69,15.07.22
41,Halsey,"13,789,987,437","2,389,871,987",176,3,24,99,131,15.07.22
42,Anuel AA,"13,786,621,539","4,681,580,430",156,0,34,128,148,12.07.22
43,Selena Gomez,"13,589,453,130","2,280,115,152",140,3,24,82,126,15.07.22
44,The Beatles,"13,552,186,140",0,791,0,36,182,452,15.07.22
45,Sia,"13,269,653,122","4,396,822,015",323,2,26,104,233,15.07.22
46,Maluma,"13,216,137,130","6,022,460,218",193,0,33,131,186,15.07.22
47,Twenty One Pilots,"12,602,897,753",0,90,3,36,75,88,02.07.22
48,Lil Uzi Vert,"12,569,813,075","8,129,796,010",131,1,32,121,130,13.07.22
49,Marshmello,"12,562,770,209","622,525,183",145,4,18,83,136,13.07.22
