year,Features,Score
2000,danceability,0.6908169014084508
2000,energy,0.7479014084507042
2000,speechiness,0.07872535211267606
2000,acousticness,0.11379576056338028
2000,instrumentalness,0.03158001873239437
2000,liveness,0.18301408450704226
2000,valence,0.6491830985915493
2001,danceability,0.6746981132075471
2001,energy,0.7280858490566038
2001,speechiness,0.10728396226415095
2001,acousticness,0.14140998113207548
2001,instrumentalness,0.021742432358490566
2001,liveness,0.17450188679245282
2001,valence,0.6588150943396226
2002,danceability,0.6741279069767442
2002,energy,0.7245116279069768
2002,speechiness,0.12248488372093023
2002,acousticness,0.13683726627906978
2002,instrumentalness,0.01041868511627907
2002,liveness,0.19001162790697676
2002,valence,0.5829883720930232
2003,danceability,0.666032967032967
2003,energy,0.7064725274725274
2003,speechiness,0.11990989010989012
2003,acousticness,0.18097139780219781
2003,instrumentalness,0.04049746054945055
2003,liveness,0.16497362637362636
2003,valence,0.6137505494505494
2004,danceability,0.694778947368421
2004,energy,0.7358210526315789
2004,speechiness,0.12485263157894737
2004,acousticness,0.11275639999999999
2004,instrumentalness,0.016009155684210526
2004,liveness,0.18047263157894736
2004,valence,0.6081747368421053
2005,danceability,0.6740198019801981
2005,energy,0.7025841584158415
2005,speechiness,0.12643762376237624
2005,acousticness,0.12345394059405941
2005,instrumentalness,0.018821274653465347
2005,liveness,0.1860881188118812
2005,valence,0.554990099009901
2006,danceability,0.6634623655913978
2006,energy,0.7047849462365592
2006,speechiness,0.11610430107526881
2006,acousticness,0.11708158064516129
2006,instrumentalness,0.0019567904301075268
2006,liveness,0.19331290322580647
2006,valence,0.601516129032258
2007,danceability,0.6265888888888889
2007,energy,0.7654888888888889
2007,speechiness,0.1101488888888889
2007,acousticness,0.11404423
2007,instrumentalness,0.013230231222222222
2007,liveness,0.18729222222222222
2007,valence,0.5490766666666667
2008,danceability,0.6675054945054945
2008,energy,0.7545934065934066
2008,speechiness,0.08802967032967032
2008,acousticness,0.0767498043956044
2008,instrumentalness,0.020726343956043957
2008,liveness,0.17336483516483517
2008,valence,0.5606428571428571
2009,danceability,0.6239146341463415
2009,energy,0.7534024390243902
2009,speechiness,0.08945853658536586
2009,acousticness,0.11868442682926829
2009,instrumentalness,0.028328169634146343
2009,liveness,0.21733414634146342
2009,valence,0.5657707317073171
2010,danceability,0.6604174757281553
2010,energy,0.7768932038834951
2010,speechiness,0.10074854368932039
2010,acousticness,0.0972645281553398
2010,instrumentalness,0.00984545786407767
2010,liveness,0.20074174757281554
2010,valence,0.5733922330097088
2011,danceability,0.63453125
2011,energy,0.7561666666666667
2011,speechiness,0.090446875
2011,acousticness,0.11348583333333333
2011,instrumentalness,0.017827420104166665
2011,liveness,0.17624270833333333
2011,valence,0.5321520833333333
2012,danceability,0.6362566371681416
2012,energy,0.770858407079646
2012,speechiness,0.07951681415929203
2012,acousticness,0.08694198230088496
2012,instrumentalness,0.015261992123893805
2012,liveness,0.2176159292035398
2012,valence,0.5635867256637168
2013,danceability,0.6326666666666667
2013,energy,0.7123551724137931
2013,speechiness,0.08417011494252874
2013,acousticness,0.10177680459770115
2013,instrumentalness,0.00941581091954023
2013,liveness,0.19069655172413794
2013,valence,0.48330689655172415
2014,danceability,0.66667
2014,energy,0.72357
2014,speechiness,0.072626
2014,acousticness,0.11843844
2014,instrumentalness,0.010725719
2014,liveness,0.18944
2014,valence,0.51789
2015,danceability,0.6505376344086021
2015,energy,0.6937741935483871
2015,speechiness,0.08680752688172043
2015,acousticness,0.13560918279569892
2015,instrumentalness,0.02395905053763441
2015,liveness,0.176394623655914
2015,valence,0.49078602150537637
2016,danceability,0.6685102040816326
2016,energy,0.6785204081632653
2016,speechiness,0.10506836734693878
2016,acousticness,0.15182428571428572
2016,instrumentalness,0.011290827551020408
2016,liveness,0.15900816326530612
2016,valence,0.48534285714285713
2017,danceability,0.6934818181818182
2017,energy,0.6888545454545455
2017,speechiness,0.11505
2017,acousticness,0.12244048181818182
2017,instrumentalness,0.006055585545454546
2017,liveness,0.15501363636363635
2017,valence,0.4837309090909091
2018,danceability,0.7280192307692308
2018,energy,0.645298076923077
2018,speechiness,0.12218461538461539
2018,acousticness,0.201873875
2018,instrumentalness,0.0065720015384615384
2018,liveness,0.16476730769230769
2018,valence,0.47197115384615385
2019,danceability,0.7197640449438202
2019,energy,0.6639213483146067
2019,speechiness,0.14405280898876405
2019,acousticness,0.18874873033707865
2019,instrumentalness,0.0036518596629213484
2019,liveness,0.1615808988764045
2019,valence,0.5355280898876404
