year,Features,Score
2000,danceability,0.6898243243243243
2000,energy,0.7482567567567567
2000,speechiness,0.07755675675675676
2000,acousticness,0.1183389054054054
2000,instrumentalness,0.030429097702702704
2000,liveness,0.1805216216216216
2000,valence,0.647972972972973
2001,danceability,0.6741296296296296
2001,energy,0.7246305555555556
2001,speechiness,0.10744537037037037
2001,acousticness,0.14505979629629628
2001,instrumentalness,0.02133991064814815
2001,liveness,0.17366851851851853
2001,valence,0.6610407407407407
2002,danceability,0.6752444444444444
2002,energy,0.7225666666666667
2002,speechiness,0.12422
2002,acousticness,0.14403338777777777
2002,instrumentalness,0.010083410222222223
2002,liveness,0.19284666666666667
2002,valence,0.5751555555555555
2003,danceability,0.6648762886597939
2003,energy,0.7014845360824742
2003,speechiness,0.11711340206185566
2003,acousticness,0.1835558474226804
2003,instrumentalness,0.03800591381443299
2003,liveness,0.16317010309278351
2003,valence,0.6076319587628866
2004,danceability,0.6968333333333333
2004,energy,0.7346979166666666
2004,speechiness,0.12580208333333334
2004,acousticness,0.11334227083333333
2004,instrumentalness,0.01584239364583333
2004,liveness,0.17965520833333334
2004,valence,0.60888125
2005,danceability,0.672923076923077
2005,energy,0.7010480769230769
2005,speechiness,0.12788557692307692
2005,acousticness,0.12295472115384616
2005,instrumentalness,0.01827836625
2005,liveness,0.18756634615384615
2005,valence,0.5530769230769231
2006,danceability,0.6608631578947368
2006,energy,0.7053473684210526
2006,speechiness,0.11644421052631579
2006,acousticness,0.11902723157894737
2006,instrumentalness,0.0019157307368421052
2006,liveness,0.1976642105263158
2006,valence,0.6012736842105263
2007,danceability,0.6305212765957446
2007,energy,0.7671489361702127
2007,speechiness,0.1094968085106383
2007,acousticness,0.1168926670212766
2007,instrumentalness,0.012668721382978724
2007,liveness,0.1836223404255319
2007,valence,0.5594989361702127
2008,danceability,0.6641855670103093
2008,energy,0.752319587628866
2008,speechiness,0.08745979381443299
2008,acousticness,0.07425589896907217
2008,instrumentalness,0.024706157731958764
2008,liveness,0.17374742268041238
2008,valence,0.5486855670103092
2009,danceability,0.6251666666666666
2009,energy,0.754702380952381
2009,speechiness,0.08814285714285715
2009,acousticness,0.11602455952380952
2009,instrumentalness,0.027654313214285714
2009,liveness,0.2141404761904762
2009,valence,0.5689309523809524
2010,danceability,0.6610747663551402
2010,energy,0.7738037383177571
2010,speechiness,0.09891495327102803
2010,acousticness,0.09976865794392524
2010,instrumentalness,0.009651235140186915
2010,liveness,0.19861495327102804
2010,valence,0.5729102803738317
2011,danceability,0.6344040404040404
2011,energy,0.7555959595959596
2011,speechiness,0.09155555555555556
2011,acousticness,0.11182363636363636
2011,instrumentalness,0.017302018484848483
2011,liveness,0.17476363636363637
2011,valence,0.5322585858585859
2012,danceability,0.6373652173913044
2012,energy,0.7689826086956522
2012,speechiness,0.0787695652173913
2012,acousticness,0.08586855652173912
2012,instrumentalness,0.014996566173913043
2012,liveness,0.21733913043478262
2012,valence,0.566124347826087
2013,danceability,0.6326404494382023
2013,energy,0.7118415730337079
2013,speechiness,0.08676179775280898
2013,acousticness,0.10005934831460674
2013,instrumentalness,0.009205281460674158
2013,liveness,0.19086629213483147
2013,valence,0.4868280898876404
2014,danceability,0.6619326923076924
2014,energy,0.7243653846153846
2014,speechiness,0.07270192307692308
2014,acousticness,0.11801840384615385
2014,instrumentalness,0.010313214999999999
2014,liveness,0.18763173076923076
2014,valence,0.5069134615384615
2015,danceability,0.6512626262626262
2015,energy,0.6895959595959595
2015,speechiness,0.0861060606060606
2015,acousticness,0.1343490303030303
2015,instrumentalness,0.023110017171717172
2015,liveness,0.1765151515151515
2015,valence,0.4866979797979798
2016,danceability,0.6707070707070707
2016,energy,0.675979797979798
2016,speechiness,0.10547171717171717
2016,acousticness,0.1506058585858586
2016,instrumentalness,0.011186778787878788
2016,liveness,0.15831717171717172
2016,valence,0.48276363636363634
2017,danceability,0.6937387387387387
2017,energy,0.6893513513513514
2017,speechiness,0.11434054054054053
2017,acousticness,0.12154822522522522
2017,instrumentalness,0.006002445135135135
2017,liveness,0.1549054054054054
2017,valence,0.48555315315315317
2018,danceability,0.72503738317757
2018,energy,0.642196261682243
2018,speechiness,0.12151869158878505
2018,acousticness,0.2080842336448598
2018,instrumentalness,0.006387739813084112
2018,liveness,0.16345607476635515
2018,valence,0.467214953271028
2019,danceability,0.7197640449438202
2019,energy,0.6639213483146067
2019,speechiness,0.14405280898876405
2019,acousticness,0.18874873033707865
2019,instrumentalness,0.0036518596629213484
2019,liveness,0.1615808988764045
2019,valence,0.5355280898876404
